사용일자,"사용 장소
(가맹점명)","사용
금액
(원)","대상
인원
(명)"
11월 21일,"주식회사 
엘리스파이","84,500",6
11월 21일,"의정부부대찌개
앤돈까","30,000",3
11월 22일,스타벅스 코리아,"80,000",12
11월 24일,효자동초밥,"51,000",5
11월 24일,남도한식(정든님),"71,000",7
11월 24일,성가백암순대,"61,000",6
11월 24일,하모니마트,"78,540",6
11월 24일,임진강한우마을,"390,000",15
11월 24일,"영덕 회식당 
종로점","90,000",9
11월 24일,"세광양대창/주식
회사","37,000",3
11월 24일,전주청국장,"25,000",3
11월 25일,타마린드D타워점,"114,000",5
11월 25일,홍성원,"230,000",11
11월 25일,임진강한우마을,"217,000",10
11월 25일,"영덕 회식당 
종로점","106,000",9
11월 28일,"명륜손칼국수 외 
2 건","46,600",4
11월 29일,남도한식(정든님),"113,000",5
11월 29일,스타벅스 코리아,"24,100",4
11월 29일,민소한우(서린점),"140,000",7
11월 29일,폴바셋 광화문점,"20,090",4
11월 29일,택이네 조개전골,"33,000",3
12월 01일,(주)베이징코야,"176,000",6
12월 02일,"매드포갈릭
광화문디","183,000",7
12월 02일,"서평옥 
광화문본점","37,000",4
12월 05일,(주)신세계푸드,"26,000",3
12월 05일,"버터풀앤크리멀
러스","166,500",9
12월 05일,해물신의한수,"69,000",6
12월 05일,"할리스커피
종로코리","15,800",3
12월 07일,"사조참치 
브이아이피",,5
12월 07일,"할리스커피
종로코리","30,700",6
12월 07일,장터순대국,"30,000",3
12월 08일,"한화호텔앤드
리조트","171,000",6
12월 09일,스타벅스 코리아,"18,400",4
12월 09일,우육면관,"54,000",5
12월 09일,(주)보나비,"32,000",6
12월 12일,해물 신의한수,"150,000",6
12월 13일,"BKR버거킹
종로구청","33,000",3
12월 13일,백스트리트 피자,"115,500",8
12월 13일,"크레이지후라이 
광화","38,000",3
12월 14일,"주식회사 
로봇에프앤","22,900",5
12월 14일,(주)씨앤피프랜즈,"300,000",10
12월 14일,타마린드D타워점,"123,500",5
12월 14일,"정관장
종각역본점","290,000",15
12월 14일,"정관장
종각역본점","290,000",15
12월 14일,"파리크라상
광화문점","72,000",14
12월 14일,"신선식탁 
광화문G타워점","48,000",6
12월 14일,"김명자굴국밥
전문점","27,000",3
12월 14일,막내낙지,"48,000",4
12월 15일,청진영양센타,"188,000",12
12월 15일,의전방,"17,500",3
12월 15일,"주식회사 
로봇에프앤","30,300",5
12월 16일,(주)나무와벽돌,"32,200",6
12월 16일,장터순대국,"79,000",7
12월 16일,피맛골화로구이,"82,000",8
12월 16일,(주)하림각,"2,460,500",85
12월 19일,호가양꼬치,"104,000",6
12월 19일,나무갤러리,"22,000",4
12월 20일,(주)나무와벽돌,"69,700",10
12월 20일,신생마트,"49,300",15
12월 20일,신생마트,"50,000",15
12월 20일,로코랩,"72,000",10
12월 21일,"롯데쇼핑
주식회사","135,000",7
12월 21일,"버터풀앤크리
멀러스","106,400",20
12월 21일,해물 신의한수,"150,000",6
12월 21일,(주)씨앤피프랜즈,"200,000",10
12월 22일,스타벅스 코리아,"67,300",11
12월 22일,(주)씨앤피프랜즈,"200,000",15
12월 22일,물자리,"450,000",18
12월 22일,서울랜드 K-FOO,"103,600",5
12월 22일,다솔,"89,000",8
12월 22일,전주청국장,"50,000",5
12월 22일,세광양대창,"94,000",8
12월 23일,스타벅스 코리아,"33,600",6
12월 23일,스타벅스 코리아,"53,200",10
12월 23일,물자리,"350,000",12
12월 23일,크로와상점,"120,000",21
12월 23일,청진영양센타3,"185,000",15
12월 23일,투썸종로구청,"67,000",12
12월 23일,신신원2,"114,000",6
12월 26일,"런던베이글
뮤지엄 안","386,400",17
12월 26일,보령식당,"160,000",8
12월 26일,"크레이지후라이
광화문점","34,000",3
12월 26일,"파리크라상
리나스광화","30,600",3
12월 26일,피맛골화로구이,"64,000",6
12월 26일,장터순대국,"67,000",6
12월 27일,(주)보나비,"46,000",8
12월 27일,서울랜드 K-FOO,"157,400",7
12월 27일,투썸종로구청,"4,100",2
12월 27일,의정부부대찌개,"80,000",8
12월 27일,"김명자굴국밥
전문점","31,000",3
12월 28일,스타벅스 코리아,"47,600",8
12월 28일,물자리,"350,000",35
12월 28일,스타벅스 코리아,"67,200",12
12월 28일,"사조참치
브이아이피","164,700",8
12월 28일,투썸종로구청,"72,000",14
12월 29일,투썸종로구청,"8,700",2
12월 29일,광화문등심,"235,000",8
12월 29일,(주)씨앤피프랜즈,"2,720,000",90
12월 29일,"두레에프엔씨주
식회사","246,000",24
12월 29일,로코랩,"67,000",12
12월 29일,다솔,"104,000",8
12월 29일,신신원2,"124,000",6
12월 29일,투썸종로구청,"97,000",18
12월 30일,(주)보나비,"115,000",22
12월 30일,폴리스 유한회사,"320,000",16
12월 30일,태성골뱅이신사,"75,000",7
12월 30일,예초,"111,800",5
12월 30일,마당쇠,"147,000",6
12월 30일,현궁,"33,000",3
12월 30일,"파리크라상
광화문점","155,000",14
12월 30일,무교동낙지,"86,000",8
