,,,,,,,,,
번호,부서명,사용자,사용일자(일시),사용장소(가맹점명),사용목적(내역),대상인원,사용방법,비목,사용금액(원)
25,기획예산과,문지선,2022-07-01 12:05,저스트텐동 앤 경양카츠 은평로점,주민생활 혁신사례 확산지원사업 추진 관련 간담회비 지급,주민생활 혁신사례 확산지원사업 추진 관계자 5명,제로페이,시책,50600
26,기획예산과,조효빈,2022-07-05 11:53,최부자,2022. 하반기 창의 아이디어제안 공모 간담회비 지급(7. 5.),공모 개최 담당자 등 4명,제로페이,시책,71000
27,기획예산과,지연주,2022-07-11 11:22,광동상사(은평),주요정책사업 추진관련 업무협의를 위한 음료 구입비용 지급,정책사업 추진관련 업무협의 관계자 등,카드,시책,90000
28,기획예산과,이혜진,2022-07-14 15:43,(주)이마트은평점,예산편성·운영 협의를 위한 다과류 구입비 지급,예산편성 및 재정운영 관련 협의자 등,카드,시책,210000
29,기획예산과,강동영,2022-07-15 21:08,아우랑횟집,2022년 광업제조업조사 사업추진관계자 간담회비 지급(7. 15.),7명(사업추진관계자),카드,시책,110000
30,기획예산과,이준우,2022-07-19 20:11,아우랑횟집,시설관리공단 경영효율성 제고 관련 간담회 경비 지급,"관계공무원, 시설관리공단 직원 등 5명",카드,시책,135000
31,기획예산과,문정훈,2022-07-22 12:25,행복나무 F&B,하반기 재정집행 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 7명",제로페이,시책,92000
32,기획예산과,김은표,2022-07-27 12:14,행복나무 F&B,외부기관 공모 추진 관련 간담회비 지급,외부기관 공모 추진 관계자 7명,제로페이,시책,68000
33,기획예산과,김종규,2022-07-04 19:24,써브웨이 은평구청점,구정 주요업무 추진 관련 관계자 간담회비 지급,구정 주요업무 추진 관계자 6명,카드,시책,55200
,,,,,,,,,
집행 총 건수,33건,,,,,,,,
집행액 합계,4009660원,,,,,,,,
