,,,,,,,,,
번호,부서명,사용자,사용일자(일시),사용장소(가맹점명),사용목적(내역),대상인원,사용방법,비목,사용금액(원)
1,기획예산과,홍승표,2022-07-01 11:54,행복나무 F&B,주요투자사업 보조금 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 8명",카드,시책,66000
2,기획예산과,조효빈,2022-07-29 11:33,써브웨이은평구청점,창의비전 운영 간담회비 지급(7. 29.),창의비전 운영 담당자 등 5명,제로페이,시책,100000
3,기획예산과,김은표,2022-07-05 12:02,칡산에황제보쌈,주요업무 평가 관련 간담회비 지급,주요업무 평가 관계자 7명,제로페이,시책,75000
4,기획예산과,이수연,2022-07-08 12:01,보리네 생고깃간,서울혁신파크 연계사업 활성화를 위한 간담회 개최 지급,"관계공무원, 혁신파크 관계자 등 6명",제로페이,시책,105000
5,기획예산과,이준우,2022-07-12 13:11,풍천장어 응암점,구산동 공공복합시설 건립 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",카드,시책,95000
6,기획예산과,조효빈,2022-07-14 12:01,정선할매,행정우수사례 벤치마킹 추진 관련 간담회비 지급,벤치마킹 추진 담당자 등 4명,제로페이,시책,60000
7,기획예산과,홍승표,2022-07-14 20:51,풍천장어 응암점,주요투자사업 추진 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 5명",제로페이,시책,165000
8,기획예산과,주창현,2022-07-15 11:41,진흥마켓,정책연구단 연구과제별 관계자 회의 다과비 지급,연구과제 추진 관계자 등 ,카드,시책,39390
9,기획예산과,조효빈,2022-07-15 21:08,아우랑횟집,「민선 8기 창의 아이디어 공모」 간담회비 지급(7. 12.),아이디어 공모 담당자 등 4명,제로페이,시책,102000
10,기획예산과,이준우,2022-07-18 12:23,뽕잎냉면 샤브샤브 칼국수,시설관리공단 대행사업 확대 관련 간담회 경비 지급,"관계공무원, 시설관리공단 직원 등 7명",제로페이,시책,90300
11,기획예산과,이수연,2022-07-20 12:25,토종능이버섯백숙,테스트베드 사업 추진 관련 간담회비 지급,6명(사업추진 관계자),제로페이,시책,112000
12,기획예산과,박지영,2022-07-21 18:26,누구나홀딱반한닭 은,구정 주요업무 추진 관련 관계자 간담회비 지급,구정 주요업무 추진 관계자 5명,카드,시책,100900
13,기획예산과,김효미,2022-07-22 16:55,이마트24 은평구청,규제개혁 업무추진 간담회비 지급,관계자 5명(담당공무원 및 업무추진 관계자),카드,시책,52570
14,기획예산과,김효미,2022-07-25 12:30,삿뽀로 녹번점,구의원-구간부 간담회 개최 비용 지급,구간부 및 구의원 등 40명,카드,시책,1148000
15,기획예산과,문정훈,2022-07-27 13:00,진흥마켓,지방보조금관리위원회 개최 관련 다과 구입비 지급,지방보조금관리위원회 관계자 등,카드,시책,42100
16,기획예산과,문지선,2022-07-29 11:43,롯데리아 녹번점,혁신 우수사례 발굴 관련 간담회비 지급,혁신 우수사례 발굴 관계자 5명,카드,시책,48100
17,기획예산과,이준우,2022-07-04 12:21,어가초밥,시설관리공단 경영효율성 제고 관련 간담회 경비 지급,"관계공무원, 시설관리공단 직원 등 7명",제로페이,시책,94000
18,기획예산과,문정훈,2022-07-08 12:04,설악추어탕한모둠순대국,하반기 재정집행 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 6명",제로페이,시책,104000
19,기획예산과,이준우,2022-07-14 12:27,장모님해장국,서울시 특별교부금 사업 발굴 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 5명",카드,시책,57000
20,기획예산과,지연주,2022-07-15 12:17,진흥마켓,구정 주요사업 추진관련 업무협의를 위한 다과 구입경비 지급,구정 주요사업 추진 업무 협의자 등,카드,시책,149500
21,기획예산과,김종규,2022-07-18 12:19,박군상회,지속가능발전 업무 추진 관계자 간담회비 지급,지속가능발전 업무 추진 관계자 4명,제로페이,시책,24000
22,기획예산과,홍승표,2022-07-21 13:08,풍천장어 응암점,특별교부세 사업 발굴 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 7명",카드,시책,116000
23,기획예산과,강동영,2022-07-25 12:01,정,2022년 통계업무 추진관계자 간담회비 지급(7. 25.),2명(사업추진 관계자),카드,시책,20000
24,기획예산과,이준우,2022-07-27 20:20,통나무집,서울시 사업예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 8명",카드,시책,162000
